"","Yr1/SpSu","Yr1/FaWi","Yr2/SpSu","Yr2/FaWi","Yr3/SpSu","Yr3/FaWi","Yr4/SpSu","Yr4/FaWi","Yr5/SpSu","Yr5/FaWi","Yr6/SpSu","Yr6/FaWi"
"S",NA,0,0.9,0.461538461538462,0.897435897435897,0.974358974358974,0.897435897435897,0.717948717948718,0.666666666666667,0.564102564102564,0.512820512820513,0
"K",NA,NA,0,0.769230769230769,0.692307692307692,0.692307692307692,0.461538461538462,0.307692307692308,0.538461538461538,0.538461538461538,0.538461538461538,0
"A",NA,0,0.85,0.46875,0.96875,0.90625,0.875,0.59375,0.4375,0.03125,0.0625,0
"C",0,0.0697674418604651,0.86046511627907,0.520547945205479,0.863013698630137,0.876712328767123,0.726027397260274,0.602739726027397,0.424657534246575,0.397260273972603,0.36986301369863,0.0136986301369863
"Y",NA,0,0.65625,0.307692307692308,0.596153846153846,0.346153846153846,0.230769230769231,0.288461538461538,0.0576923076923077,0.0192307692307692,0.442307692307692,0.269230769230769
"B",NA,0,0.580645161290323,0.234042553191489,0.659574468085106,0.638297872340426,0.617021276595745,0.382978723404255,0.191489361702128,0.127659574468085,0.234042553191489,0.0425531914893617
"E",0,0,0.68,0.307692307692308,0.743589743589744,0.871794871794872,0.641025641025641,0.564102564102564,0.282051282051282,0.0769230769230769,0.179487179487179,0
"P",NA,0,0.5,0.25,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0
"L",NA,0,0.833333333333333,0.142857142857143,0.714285714285714,0.428571428571429,0.571428571428571,0.142857142857143,0.142857142857143,0,0,0
