"vTagID","Date","System","FL_mm","asDate","Year","Month","Day"
9466,"10/14/2008","Pascagoula",1890,"2008-10-14","2008","10","14"
9459,"10/28/2008","Pascagoula",1570,"2008-10-28","2008","10","28"
9474,"9/9/2009","Pascagoula",1350,"2009-09-09","2009","09","09"
46436,"9/2/2010","Yellow",1270,"2010-09-02","2010","09","02"
46419,"9/10/2010","Yellow",1380,"2010-09-10","2010","09","10"
46422,"9/14/2010","Escambia",1500,"2010-09-14","2010","09","14"
46444,"9/14/2010","Escambia",1620,"2010-09-14","2010","09","14"
46149,"9/27/2010","Suwannee",1708,"2010-09-27","2010","09","27"
45766,"10/6/2010","Yellow",1830,"2010-10-06","2010","10","06"
46123,"10/6/2010","Yellow",1760,"2010-10-06","2010","10","06"
46171,"10/6/2010","Yellow",1500,"2010-10-06","2010","10","06"
19301,"8/10/2011","Ochlockonee",1620,"2011-08-10","2011","08","10"
19304,"8/10/2011","Ochlockonee",1440,"2011-08-10","2011","08","10"
6512,"8/26/2011","Ochlockonee",1470,"2011-08-26","2011","08","26"
30540,"10/3/2011","Yellow",1280,"2011-10-03","2011","10","03"
30544,"10/3/2011","Yellow",1320,"2011-10-03","2011","10","03"
30546,"10/3/2011","Yellow",1610,"2011-10-03","2011","10","03"
30529,"10/6/2011","Yellow",1800,"2011-10-06","2011","10","06"
30531,"10/6/2011","Yellow",1690,"2011-10-06","2011","10","06"
305082,"10/13/2011","Choctawhatchee",1320,"2011-10-13","2011","10","13"
22918,"10/13/2011","Escambia",1310,"2011-10-13","2011","10","13"
31752,"10/14/2011","Choctawhatchee",1260,"2011-10-14","2011","10","14"
29862,"4/3/2012","Yellow",1360,"2012-04-03","2012","04","03"
29836,"8/30/2012","Apalachicola",1460,"2012-08-30","2012","08","30"
29840,"8/31/2012","Apalachicola",1560,"2012-08-31","2012","08","31"
29845,"9/11/2012","Apalachicola",1450,"2012-09-11","2012","09","11"
29856,"9/11/2012","Yellow",1760,"2012-09-11","2012","09","11"
29863,"9/19/2012","Yellow",1520,"2012-09-19","2012","09","19"
29858,"9/20/2012","Yellow",1820,"2012-09-20","2012","09","20"
29875,"9/20/2012","Yellow",1810,"2012-09-20","2012","09","20"
29914,"10/6/2012","Choctawhatchee",1700,"2012-10-06","2012","10","06"
9742,"4/28/2015","Apalachicola",1440,"2015-04-28","2015","04","28"
9744,"4/28/2015","Apalachicola",1400,"2015-04-28","2015","04","28"
45321,"4/28/2015","Apalachicola",1450,"2015-04-28","2015","04","28"
9738,"4/29/2015","Apalachicola",1550,"2015-04-29","2015","04","29"
9739,"4/30/2015","Apalachicola",1260,"2015-04-30","2015","04","30"
9741,"4/30/2015","Apalachicola",1430,"2015-04-30","2015","04","30"
9743,"4/30/2015","Apalachicola",1400,"2015-04-30","2015","04","30"
9740,"5/30/2015","Apalachicola",1700,"2015-05-30","2015","05","30"
22904,"6/4/2015","Escambia",1450,"2015-06-04","2015","06","04"
22903,"6/4/2015","Escambia",1720,"2015-06-04","2015","06","04"
22908,"6/10/2015","Escambia",1300,"2015-06-10","2015","06","10"
22921,"6/10/2015","Escambia",1800,"2015-06-10","2015","06","10"
22905,"6/10/2015","Escambia",1460,"2015-06-10","2015","06","10"
22912,"6/12/2015","Escambia",1970,"2015-06-12","2015","06","12"
22910,"6/12/2015","Escambia",1550,"2015-06-12","2015","06","12"
22911,"6/12/2015","Escambia",1540,"2015-06-12","2015","06","12"
22914,"6/12/2015","Escambia",2090,"2015-06-12","2015","06","12"
22906,"6/12/2015","Escambia",1510,"2015-06-12","2015","06","12"
22907,"6/12/2015","Escambia",1350,"2015-06-12","2015","06","12"
22915,"6/16/2015","Escambia",1850,"2015-06-16","2015","06","16"
22916,"6/16/2015","Escambia",1450,"2015-06-16","2015","06","16"
22917,"6/16/2015","Escambia",1300,"2015-06-16","2015","06","16"
22913,"6/16/2015","Escambia",2030,"2015-06-16","2015","06","16"
22920,"6/16/2015","Escambia",1450,"2015-06-16","2015","06","16"
22919,"6/16/2015","Escambia",1260,"2015-06-16","2015","06","16"
21541,"9/25/2015","Pascagoula",1594,"2015-09-25","2015","09","25"
21537,"9/25/2015","Pascagoula",1600,"2015-09-25","2015","09","25"
21539,"9/25/2015","Pascagoula",1256,"2015-09-25","2015","09","25"
21540,"9/29/2015","Pascagoula",1660,"2015-09-29","2015","09","29"
21538,"10/6/2015","Pascagoula",1528,"2015-10-06","2015","10","06"
21536,"10/6/2015","Pascagoula",1290,"2015-10-06","2015","10","06"
21524,"10/15/2015","Pascagoula",1642,"2015-10-15","2015","10","15"
20809,"5/24/2016","Choctawhatchee",1340,"2016-05-24","2016","05","24"
20810,"5/24/2016","Choctawhatchee",1500,"2016-05-24","2016","05","24"
20811,"5/24/2016","Choctawhatchee",1570,"2016-05-24","2016","05","24"
20812,"5/24/2016","Choctawhatchee",1330,"2016-05-24","2016","05","24"
20813,"5/24/2016","Choctawhatchee",1440,"2016-05-24","2016","05","24"
20814,"5/24/2016","Choctawhatchee",1800,"2016-05-24","2016","05","24"
20815,"5/24/2016","Choctawhatchee",1520,"2016-05-24","2016","05","24"
20816,"5/24/2016","Choctawhatchee",1320,"2016-05-24","2016","05","24"
20818,"5/24/2016","Choctawhatchee",1320,"2016-05-24","2016","05","24"
